138;HUGO PAGE;44;INTERMARCHÉ - WANTY;81h 24' 55'';+ 05h 24' 23''
139;STIAN EDVARDSEN-FREDHEIM;224;UNO-X MOBILITY;81h 27' 13'';+ 05h 26' 41''
140;ELMAR REINDERS;127;TEAM JAYCO ALULA;81h 29' 22'';+ 05h 28' 50''
141;LAURENZ REX;45;INTERMARCHÉ - WANTY;81h 29' 48'';+ 05h 29' 16''
142;ARNAUD DE LIE;211;LOTTO;81h 30' 07'';+ 05h 29' 35''
143;VITO BRAET;43;INTERMARCHÉ - WANTY;81h 32' 36'';+ 05h 32' 04''
144;SÉBASTIEN GRIGNARD;215;LOTTO;81h 34' 20'';+ 05h 33' 48''
145;ALEXIS RENARD;165;COFIDIS;81h 35' 28'';+ 05h 34' 56''
146;JONATHAN MILAN;81;LIDL-TREK;81h 36' 07'';+ 05h 35' 35''
147;BERT VAN LERBERGHE;27;SOUDAL QUICK-STEP;81h 37' 19'';+ 05h 36' 47''
148;TIM MERLIER;24;SOUDAL QUICK-STEP;81h 37' 51'';+ 05h 37' 19''
149;GUILLAUME BOIVIN;204;ISRAEL - PREMIER TECH;81h 38' 16'';+ 05h 37' 44''
150;DYLAN GROENEWEGEN;124;TEAM JAYCO ALULA;81h 38' 56'';+ 05h 38' 24''
151;PHIL BAUHAUS;52;BAHRAIN VICTORIOUS;81h 40' 01'';+ 05h 39' 29''
152;LUKA MEZGEC;125;TEAM JAYCO ALULA;81h 40' 40'';+ 05h 40' 08''
153;ARNAUD DEMARE;134;ARKEA-B&B HOTELS;81h 41' 07'';+ 05h 40' 35''
154;BENJAMIN THOMAS;167;COFIDIS;81h 41' 48'';+ 05h 41' 16''
155;KAMIL GRADEK;53;BAHRAIN VICTORIOUS;81h 44' 23'';+ 05h 43' 51''
156;ROEL VAN SINTMAARTENSDIJK;47;INTERMARCHÉ - WANTY;81h 44' 43'';+ 05h 44' 11''
157;FABIAN LIENHARD;115;TUDOR PRO CYCLING TEAM;81h 46' 32'';+ 05h 46' 00''
158;JORDI MEEUS;73;RED BULL - BORA - HANSGROHE;81h 48' 57'';+ 05h 48' 25''
159;EDWARD THEUNS;88;LIDL-TREK;81h 51' 57'';+ 05h 51' 25''
160;SIMONE CONSONNI;82;LIDL-TREK;81h 52' 12'';+ 05h 51' 40''
